V1	Group
18839	WT_specific
21180	WT_specific
22098	WT_specific
29214	WT_specific
1407	WT_specific
3675	WT_specific
4749	WT_specific
19857	WT_specific
26340	WT_specific
166	WT_specific
711	WT_specific
3267	WT_specific
16930	WT_specific
16041	WT_specific
18441	WT_specific
0	WT_specific
3242	WT_specific
0	WT_specific
3555	WT_specific
7319	WT_specific
5199	WT_specific
21527	WT_specific
36333	WT_specific
0	WT_specific
4688	WT_specific
1985	WT_specific
4401	WT_specific
0	WT_specific
735	WT_specific
1872	WT_specific
19490	WT_specific
21515	WT_specific
36040	WT_specific
26996	WT_specific
549	WT_specific
4330	WT_specific
6615	WT_specific
40163	WT_specific
0	WT_specific
13386	WT_specific
18067	WT_specific
15998	WT_specific
7312	WT_specific
39370	WT_specific
1421	WT_specific
14592	WT_specific
12294	WT_specific
7006	WT_specific
9569	WT_specific
2658	WT_specific
12219	WT_specific
906	WT_specific
737	WT_specific
6013	WT_specific
854	WT_specific
1564	WT_specific
0	WT_specific
8338	WT_specific
9324	WT_specific
0	WT_specific
2316	WT_specific
32864	WT_specific
55899	WT_specific
61925	WT_specific
42209	WT_specific
34762	WT_specific
20418	WT_specific
26128	WT_specific
5846	WT_specific
3294	WT_specific
7522	WT_specific
9860	WT_specific
14943	WT_specific
0	WT_specific
5987	WT_specific
9162	WT_specific
15117	WT_specific
52304	WT_specific
3550	WT_specific
11249	WT_specific
2850	WT_specific
5770	WT_specific
6404	WT_specific
916	WT_specific
6049	WT_specific
24354	WT_specific
27969	WT_specific
35504	WT_specific
43349	WT_specific
39905	WT_specific
36561	WT_specific
25176	WT_specific
2885	WT_specific
617	WT_specific
34843	WT_specific
33396	WT_specific
37134	WT_specific
34152	WT_specific
23384	WT_specific
1326	WT_specific
0	WT_specific
0	WT_specific
12235	WT_specific
9607	WT_specific
7502	WT_specific
11109	WT_specific
37970	WT_specific
0	WT_specific
5390	WT_specific
3043	WT_specific
9092	WT_specific
404	WT_specific
1847	WT_specific
26142	WT_specific
38710	WT_specific
55709	WT_specific
39709	WT_specific
26431	WT_specific
25295	WT_specific
23511	WT_specific
12395	WT_specific
4905	WT_specific
912	WT_specific
1301	WT_specific
1081	WT_specific
0	WT_specific
0	WT_specific
10643	WT_specific
14516	WT_specific
8102	WT_specific
0	WT_specific
8378	WT_specific
7734	WT_specific
5813	WT_specific
4376	WT_specific
9873	WT_specific
3401	WT_specific
570	WT_specific
4445	WT_specific
30514	WT_specific
34265	WT_specific
35501	WT_specific
5771	WT_specific
3800	WT_specific
25372	WT_specific
27475	WT_specific
2696	WT_specific
1330	WT_specific
12814	WT_specific
8842	WT_specific
4756	WT_specific
9065	WT_specific
19622	WT_specific
473	WT_specific
8490	WT_specific
16203	WT_specific
3289	WT_specific
16799	WT_specific
0	WT_specific
0	WT_specific
8282	WT_specific
9510	WT_specific
15728	WT_specific
9589	WT_specific
7931	WT_specific
48465	WT_specific
4894	WT_specific
20305	WT_specific
0	WT_specific
11706	WT_specific
3878	WT_specific
0	WT_specific
10096	WT_specific
2652	WT_specific
14075	WT_specific
5299	WT_specific
8147	WT_specific
20688	WT_specific
14294	WT_specific
4047	WT_specific
2395	WT_specific
0	WT_specific
27223	WT_specific
65556	WT_specific
66796	WT_specific
2049	WT_specific
6013	WT_specific
2319	WT_specific
1763	WT_specific
15663	WT_specific
25027	WT_specific
0	WT_specific
1191	WT_specific
3682	WT_specific
2212	WT_specific
0	WT_specific
0	WT_specific
9529	WT_specific
645	WT_specific
0	WT_specific
3065	WT_specific
67523	WT_specific
70651	WT_specific
64188	WT_specific
8576	WT_specific
7286	WT_specific
5227	WT_specific
3493	WT_specific
1917	WT_specific
0	WT_specific
728	WT_specific
5671	WT_specific
6643	WT_specific
14178	WT_specific
28961	WT_specific
27081	WT_specific
20854	WT_specific
15066	WT_specific
4808	WT_specific
2083	WT_specific
241	WT_specific
11749	WT_specific
27736	WT_specific
18565	WT_specific
19323	WT_specific
39592	WT_specific
0	WT_specific
6102	WT_specific
306	WT_specific
1332	WT_specific
0	WT_specific
993	WT_specific
534	WT_specific
19292	WT_specific
1346	WT_specific
4321	WT_specific
5877	WT_specific
1560	WT_specific
0	WT_specific
0	WT_specific
26165	WT_specific
23592	WT_specific
105144	WT_specific
59495	WT_specific
0	WT_specific
1861	WT_specific
8155	WT_specific
21435	WT_specific
34254	WT_specific
13833	WT_specific
0	WT_specific
0	WT_specific
9981	WT_specific
10814	WT_specific
2314	WT_specific
11558	WT_specific
12019	WT_specific
8793	WT_specific
0	WT_specific
1573	WT_specific
13143	WT_specific
25807	WT_specific
33336	WT_specific
38923	WT_specific
29392	WT_specific
11263	WT_specific
0	WT_specific
2936	WT_specific
234	WT_specific
7083	WT_specific
0	WT_specific
9420	WT_specific
28458	WT_specific
20975	WT_specific
3464	WT_specific
4400	WT_specific
7064	WT_specific
0	WT_specific
3217	WT_specific
6903	WT_specific
1704	WT_specific
2457	WT_specific
0	WT_specific
10207	WT_specific
3383	WT_specific
8959	WT_specific
11177	WT_specific
25292	WT_specific
23095	WT_specific
10690	WT_specific
5632	WT_specific
4573	WT_specific
2696	WT_specific
8303	WT_specific
4139	WT_specific
14354	WT_specific
6927	WT_specific
2047	WT_specific
3726	WT_specific
9915	WT_specific
21716	WT_specific
24465	WT_specific
46496	WT_specific
37224	WT_specific
23198	WT_specific
0	WT_specific
1212	WT_specific
0	WT_specific
5381	WT_specific
23065	WT_specific
12215	WT_specific
4579	WT_specific
2086	WT_specific
17056	WT_specific
19438	WT_specific
6505	WT_specific
3619	WT_specific
5233	WT_specific
41491	WT_specific
37067	WT_specific
18012	WT_specific
10789	WT_specific
1473	WT_specific
27246	WT_specific
6630	WT_specific
27179	WT_specific
30241	WT_specific
50376	WT_specific
23313	WT_specific
8264	WT_specific
26835	WT_specific
3407	WT_specific
5221	WT_specific
5903	WT_specific
18312	WT_specific
0	WT_specific
22912	WT_specific
30809	WT_specific
18668	WT_specific
0	WT_specific
11072	WT_specific
9303	WT_specific
3735	WT_specific
2709	WT_specific
6638	WT_specific
8027	WT_specific
17206	WT_specific
14336	WT_specific
0	WT_specific
0	WT_specific
20328	WT_specific
36688	WT_specific
11858	WT_specific
417	WT_specific
407	WT_specific
3300	WT_specific
2632	WT_specific
0	WT_specific
24118	WT_specific
15691	WT_specific
6231	WT_specific
511	WT_specific
2074	WT_specific
8804	WT_specific
0	WT_specific
7332	WT_specific
18441	WT_specific
29946	WT_specific
64672	WT_specific
41071	WT_specific
33412	WT_specific
0	WT_specific
19880	WT_specific
17919	WT_specific
366	WT_specific
8827	WT_specific
3825	WT_specific
19856	WT_specific
8137	WT_specific
2502	WT_specific
12327	WT_specific
18722	WT_specific
19713	WT_specific
34651	WT_specific
4840	WT_specific
7733	WT_specific
6489	WT_specific
0	WT_specific
3270	WT_specific
10861	WT_specific
23400	WT_specific
24939	WT_specific
68022	WT_specific
70004	WT_specific
73429	WT_specific
55284	WT_specific
21016	WT_specific
16447	WT_specific
16066	WT_specific
15514	WT_specific
12946	WT_specific
